Variable,Importancia
EDAD_PROMEDIO,0.2796329996754514
DIAOCU,0.2183660541962767
EDADMUJ,0.2096991673271395
EDADHOM,0.14722534381311106
DIFERENCIA_EDAD,0.062258037300901646
AÑOREG,0.0412575199081871
AÑOOCU,0.032982773150068624
DIVORCIO,0.008568347522267646
EDADM,9.757106596341034e-06
