Modelo,C,class_weight,Accuracy,Precision,Recall,F1-score,ROC-AUC
LogReg_2_balanceado,1.0,balanced,0.8776170175489824,0.039242843951985226,0.8531994981179423,0.0750344827586207,0.9342561074206185
LogReg_3_regularizado,0.1,balanced,0.8766534294974743,0.039157316235401876,0.8582183186951067,0.07489734464823433,0.9398801835863644
LogReg_4_menos_regularizado,10.0,balanced,0.8787558034280375,0.0391699696899044,0.8431618569636136,0.07486214003230658,0.9304606775632571
LogReg_1_baseline,1.0,,0.9941746722340643,0.47368421052631576,0.011292346298619825,0.022058823529411766,0.9366349718442419
